 0.1009E-01	  0.4192    	  0.7130    
  0.3045E-01	  0.3609    	  0.5940    
  0.5117E-01	  0.3314    	  0.3559    
  0.7226E-01	  0.3116    	  0.2627    
  0.9370E-01	  0.2967    	  0.2110    
  0.1155    	  0.2846    	  0.1777    
  0.1377    	  0.2744    	  0.1543    
  0.1602    	  0.2657    	  0.1368    
  0.1831    	  0.2579    	  0.1232    
  0.2063    	  0.2510    	  0.1123    
  0.2299    	  0.2447    	  0.1034    
  0.2539    	  0.2390    	  0.9591E-01
  0.2782    	  0.2337    	  0.8954E-01
  0.3029    	  0.2287    	  0.8406E-01
  0.3280    	  0.2241    	  0.7929E-01
  0.3534    	  0.2198    	  0.7509E-01
  0.3792    	  0.2157    	  0.7137E-01
  0.4053    	  0.2118    	  0.6805E-01
  0.4318    	  0.2081    	  0.6507E-01
  0.4587    	  0.2046    	  0.6238E-01
  0.4859    	  0.2012    	  0.5994E-01
  0.5134    	  0.1980    	  0.5771E-01
  0.5414    	  0.1948    	  0.5567E-01
  0.5697    	  0.1919    	  0.5380E-01
  0.5983    	  0.1890    	  0.5207E-01
  0.6274    	  0.1862    	  0.5048E-01
  0.6567    	  0.1835    	  0.4900E-01
  0.6865    	  0.1809    	  0.4762E-01
  0.7166    	  0.1783    	  0.4635E-01
  0.7471    	  0.1759    	  0.4515E-01
  0.7779    	  0.1735    	  0.4404E-01
  0.8091    	  0.1711    	  0.4299E-01
  0.8406    	  0.1688    	  0.4201E-01
  0.8725    	  0.1666    	  0.4109E-01
  0.9048    	  0.1644    	  0.4023E-01
  0.9374    	  0.1623    	  0.3941E-01
  0.9704    	  0.1603    	  0.3865E-01
   1.004    	  0.1582    	  0.3792E-01
   1.037    	  0.1562    	  0.3724E-01
   1.072    	  0.1543    	  0.3659E-01
   1.106    	  0.1524    	  0.3598E-01
   1.141    	  0.1505    	  0.3540E-01
   1.176    	  0.1486    	  0.3485E-01
   1.211    	  0.1468    	  0.3433E-01
   1.247    	  0.1450    	  0.3383E-01
   1.284    	  0.1433    	  0.3337E-01
   1.320    	  0.1416    	  0.3292E-01
   1.357    	  0.1399    	  0.3250E-01
   1.394    	  0.1382    	  0.3210E-01
   1.432    	  0.1365    	  0.3172E-01
   1.470    	  0.1349    	  0.3136E-01
   1.509    	  0.1333    	  0.3101E-01
   1.547    	  0.1317    	  0.3069E-01
   1.586    	  0.1301    	  0.3038E-01
   1.626    	  0.1286    	  0.3009E-01
   1.666    	  0.1271    	  0.2981E-01
   1.706    	  0.1256    	  0.2954E-01
   1.747    	  0.1241    	  0.2929E-01
   1.788    	  0.1226    	  0.2906E-01
   1.829    	  0.1212    	  0.2883E-01
   1.870    	  0.1197    	  0.2862E-01
   1.912    	  0.1183    	  0.2842E-01
   1.955    	  0.1169    	  0.2823E-01
   1.998    	  0.1155    	  0.2805E-01
   2.041    	  0.1141    	  0.2788E-01
   2.084    	  0.1127    	  0.2773E-01
   2.128    	  0.1114    	  0.2758E-01
   2.172    	  0.1100    	  0.2744E-01
   2.217    	  0.1087    	  0.2731E-01
   2.262    	  0.1074    	  0.2719E-01
   2.307    	  0.1061    	  0.2708E-01
   2.352    	  0.1048    	  0.2698E-01
   2.398    	  0.1035    	  0.2688E-01
   2.445    	  0.1022    	  0.2680E-01
   2.491    	  0.1009    	  0.2672E-01
   2.539    	  0.9966E-01	  0.2665E-01
   2.586    	  0.9841E-01	  0.2658E-01
   2.634    	  0.9717E-01	  0.2653E-01
   2.682    	  0.9594E-01	  0.2648E-01
   2.730    	  0.9472E-01	  0.2644E-01
   2.779    	  0.9350E-01	  0.2640E-01
   2.828    	  0.9229E-01	  0.2637E-01
   2.878    	  0.9110E-01	  0.2635E-01
   2.928    	  0.8990E-01	  0.2634E-01
   2.978    	  0.8872E-01	  0.2633E-01
   3.029    	  0.8755E-01	  0.2633E-01
   3.080    	  0.8638E-01	  0.2633E-01
   3.131    	  0.8522E-01	  0.2634E-01
   3.183    	  0.8406E-01	  0.2636E-01
   3.235    	  0.8291E-01	  0.2638E-01
   3.288    	  0.8177E-01	  0.2641E-01
   3.341    	  0.8064E-01	  0.2645E-01
   3.394    	  0.7951E-01	  0.2649E-01
   3.447    	  0.7839E-01	  0.2654E-01
   3.501    	  0.7728E-01	  0.2659E-01
   3.556    	  0.7617E-01	  0.2666E-01
   3.610    	  0.7506E-01	  0.2672E-01
   3.665    	  0.7397E-01	  0.2680E-01
   3.721    	  0.7288E-01	  0.2687E-01
   3.776    	  0.7179E-01	  0.2696E-01
   3.832    	  0.7071E-01	  0.2705E-01
   3.889    	  0.6964E-01	  0.2715E-01
   3.946    	  0.6857E-01	  0.2726E-01
   4.003    	  0.6751E-01	  0.2737E-01
   4.060    	  0.6645E-01	  0.2748E-01
   4.118    	  0.6540E-01	  0.2761E-01
   4.176    	  0.6436E-01	  0.2774E-01
   4.235    	  0.6332E-01	  0.2788E-01
   4.294    	  0.6228E-01	  0.2802E-01
   4.353    	  0.6125E-01	  0.2817E-01
   4.413    	  0.6023E-01	  0.2833E-01
   4.473    	  0.5921E-01	  0.2850E-01
   4.534    	  0.5819E-01	  0.2867E-01
   4.594    	  0.5719E-01	  0.2886E-01
   4.655    	  0.5618E-01	  0.2905E-01
   4.717    	  0.5518E-01	  0.2924E-01
   4.779    	  0.5419E-01	  0.2945E-01
   4.841    	  0.5320E-01	  0.2966E-01
   4.904    	  0.5222E-01	  0.2989E-01
   4.967    	  0.5124E-01	  0.3012E-01
   5.030    	  0.5027E-01	  0.3036E-01
